id,text,label
0,"Заказали 14.10.2017 , получили 25.10.2017 
На мой размер 42, широкий как мешок. Надо было все таки размер  S заказать. 
По поводу качества хороший пуховик. 
Мех натуральный , съемный. 
Буду продавать .",нет товара
1,"футболка хорошего качества,но футболка не как для девушек и женщин,а как на мужчину. она очень свободная. на свой М, заказала Л. теперь не знаю что делать,ибо она мне велика, даже моему папе она полезет.",нет товара
2,Все отлично!!!,нет товара
3,"Рисунок не очень чёткий, а ткань прозрачная, видно нижнее бельё",нет товара
4,"плохо!!!Низ рваный..деньги не вернули!Открыла спор,но его почему то закрыли",нет товара
5,"обычная майка с ужасным запахом, есть косяки на белой надписи как краска",нет товара
6,"Все как на фото, и цвет и форма.",нет товара
7,"Но рост 180 по колено,качество хорошее,доставка быстрая",нет товара
8,Не подошло по размеру. Ткань тоже не понравилась,нет товара
9,"очень крутой топ,заказала 11.11 пришел 28.11 еще и курьер принес",одежда
10,"брак,очень растроенна",нет товара
11,криво пошита ткань. большой размер.,текстиль
12,"Отвратительное качество материала. Продавец обещает хлопок, а пришла голая синтетика. Сильный запах. ",нет товара
13,"Качество очень даже неплохое, что хотела, синтетика немного похожа на замшу, Но, размер просто капелюшчный, на 44 размер XXL еле, еле подошёл. Я заказала 3xL, а прислали 2xl, открыла спор, никак не решили проблему. Очень обидно.",нет товара
14,"Товар не получила, деньги не вернули!",нет товара
15,"Супер!!! Очень красивая блузка, качество отличное, смотрится замечательно. Принёс курьер домой)))",нет товара
16,"Качество хорошее, большой вырез ссади",одежда
17,"Товар так и не пришел. Заказала 6 июля, сейчас конец сентября, но ни слуху ни духу. Открыла спор и деньги вернули, но из минусов - оооочень долгое ожидание, которое так ни к чему и не привело и трек не отслеживался.",нет товара
18,ужасная юбка. один бок намного короче другого. не заказывайте такой товар.,нет товара
19,"Это вторая, обе S, но разница видна. И пришлось взять в руки иголку, так как были косяки. Но они очень удобны и комфортные для работы.",нет товара
20,"Доставка 2 месяца до Смоленска. Ткань голая синтетика. Пуговицы еле держатся. На параметры ОГ 91, ОТ 68, плечи 40 размер М в самый раз.",нет товара
